date,description,amount,transaction_type,category
01/02/2023,Zomato Food Delivery,317.82,Debit,Food & Dining
01/03/2023,Dividend Credit,1115.82,Credit,Investment
01/04/2023,Insurance Premium,3915.38,Debit,Insurance
01/04/2023,BookMyShow Tickets,463.06,Debit,Entertainment
01/06/2023,MedPlus Medical Store,616.61,Debit,Healthcare
01/07/2023,Salary Credit,66190.13,Credit,Salary
01/08/2023,Book Purchase,599.09,Debit,Education
01/09/2023,Cashback Credit,90.4,Credit,Cashback
01/11/2023,Gym Membership,2424.3,Debit,Healthcare
01/12/2023,Hair Salon,243.93,Debit,Personal Care
01/12/2023,Petrol/Diesel,3770.84,Debit,Transport
01/13/2023,Uber Ride,161.09,Debit,Transport
01/13/2023,School Fees,11105.51,Debit,Education
01/14/2023,Spa & Wellness,2542.66,Debit,Personal Care
01/14/2023,Flipkart Order,1639.56,Debit,Shopping
01/16/2023,Uber Ride,357.18,Debit,Transport
01/16/2023,Water Bill,219.43,Debit,Utilities
01/17/2023,Maintenance Charges,2571.11,Debit,Housing
01/17/2023,Airtel Mobile Bill,654.63,Debit,Utilities
01/17/2023,Maintenance Charges,775.3,Debit,Housing
01/19/2023,Airtel Mobile Bill,919.62,Debit,Utilities
01/21/2023,Bonus Credit,30500.82,Credit,Bonus
01/21/2023,Apollo Pharmacy,474.81,Debit,Healthcare
01/21/2023,Netflix Subscription,208.13,Debit,Entertainment
01/24/2023,Zomato Food Delivery,793.05,Debit,Food & Dining
01/24/2023,House Rent,10248.61,Debit,Housing
01/25/2023,Amazon Purchase,223.43,Debit,Shopping
01/27/2023,Petrol/Diesel,2067.16,Debit,Transport
01/27/2023,Coffee Shop,319.9,Debit,Food & Dining
01/28/2023,Electricity Bill,2673.68,Debit,Utilities
01/29/2023,Hotel Stay,2055.01,Debit,Travel
01/29/2023,PVR Cinemas,344.82,Debit,Entertainment
01/31/2023,Spotify Premium,119.0,Debit,Entertainment
02/01/2023,Swiggy Order,363.28,Debit,Food & Dining
02/03/2023,Flipkart Order,5385.41,Debit,Shopping
02/03/2023,Transfer Received,19911.05,Credit,Transfer
02/04/2023,Myntra Fashion,2955.23,Debit,Shopping
02/05/2023,Water Bill,696.81,Debit,Utilities
02/05/2023,Maintenance Charges,1468.51,Debit,Housing
02/06/2023,Ola Cab,87.88,Debit,Transport
02/07/2023,Hotel Stay,5742.31,Debit,Travel
02/11/2023,Water Bill,425.32,Debit,Utilities
02/13/2023,BookMyShow Tickets,423.69,Debit,Entertainment
02/13/2023,School Fees,12478.57,Debit,Education
02/14/2023,Petrol/Diesel,3672.5,Debit,Transport
02/15/2023,Flipkart Order,1020.95,Debit,Shopping
02/16/2023,Hair Salon,385.54,Debit,Personal Care
02/16/2023,Netflix Subscription,565.7,Debit,Entertainment
02/17/2023,Hair Salon,690.45,Debit,Personal Care
02/18/2023,Petrol/Diesel,3717.82,Debit,Transport
02/18/2023,Spa & Wellness,2518.89,Debit,Personal Care
02/21/2023,Restaurant Dinner,2471.24,Debit,Food & Dining
02/22/2023,Freelance Payment,14379.79,Credit,Freelance
02/22/2023,Spa & Wellness,1797.34,Debit,Personal Care
02/23/2023,Jio Recharge,272.91,Debit,Utilities
02/25/2023,BigBasket Groceries,3585.98,Debit,Groceries
02/25/2023,ATM Withdrawal,2028.39,Debit,Others
02/27/2023,Rental Income,19215.11,Credit,Rental
03/01/2023,Spotify Premium,119.0,Debit,Entertainment
03/01/2023,Insurance Premium,8390.6,Debit,Insurance
03/01/2023,Amazon Purchase,576.15,Debit,Shopping
03/02/2023,Airtel Mobile Bill,635.28,Debit,Utilities
03/04/2023,Interest Credit,2393.9,Credit,Interest
03/05/2023,Cashback Credit,502.01,Credit,Cashback
