date,description,amount,transaction_type,category
2022-01-01,Hostinger Hosting,"₹4,188.78",debit,Utilities
2022-01-02,LinkedIn Premium,"₹2,499.00",debit,Subscriptions
2022-01-02,Project Milestone,"₹20,172.66",credit,Income
2022-01-02,Tally Software,"₹9,000.00",debit,Subscriptions
2022-01-02,Spotify Premium,₹119.00,debit,Subscriptions
2022-01-04,PVR Cinemas,₹273.97,debit,Entertainment
2022-01-07,Uber Ride,₹85.36,debit,Transportation
2022-01-08,Namecheap Domain,"₹1,645.97",debit,Utilities
2022-01-08,Amazon Prime,₹805.37,debit,Subscriptions
2022-01-08,Equipment Purchase,"₹44,786.58",debit,Shopping
2022-01-08,Reliance Fresh,₹854.47,debit,Groceries
2022-01-09,BigBasket Groceries,₹733.67,debit,Groceries
2022-01-09,YouTube Premium,₹139.00,debit,Subscriptions
2022-01-10,Gaming Recharge,"₹1,021.40",debit,Entertainment
2022-01-10,Zomato Food Delivery,₹152.04,debit,Food & Dining
2022-01-10,Refund Credit,₹704.06,credit,Income
2022-01-11,Client Payment UPI,"₹84,243.90",credit,Income
2022-01-11,1mg Medicine Order,"₹1,149.05",debit,Healthcare
2022-01-11,Equipment Purchase,"₹30,186.02",debit,Shopping
2022-01-12,Equipment Purchase,"₹25,277.24",debit,Shopping
2022-01-13,Client Payment UPI,"₹75,518.54",credit,Income
2022-01-14,Invoice Software,"₹1,650.19",debit,Subscriptions
2022-01-14,Adobe Creative Cloud,"₹1,675.00",debit,Subscriptions
2022-01-16,Chartered Accountant Fee,"₹4,243.45",debit,Miscellaneous
2022-01-16,More Supermarket,"₹1,290.00",debit,Groceries
2022-01-16,Hotstar Subscription,₹244.71,debit,Subscriptions
2022-01-18,DMart Purchase,"₹1,701.36",debit,Groceries
2022-01-19,Amazon Prime,₹375.79,debit,Subscriptions
2022-01-19,YouTube Premium,₹139.00,debit,Subscriptions
2022-01-20,Course Sale Revenue,"₹24,386.78",credit,Income
2022-01-20,BookMyShow Tickets,"₹1,379.46",debit,Entertainment
2022-01-21,YouTube Premium,₹139.00,debit,Subscriptions
2022-01-21,Gym Membership,₹710.25,debit,Healthcare
2022-01-22,Client Meeting Cab,₹858.48,debit,Transportation
2022-01-22,Ajio Clothing,"₹3,113.94",debit,Shopping
2022-01-23,Course Sale Revenue,"₹29,762.40",credit,Income
2022-01-23,Invoice Software,"₹1,564.83",debit,Subscriptions
2022-01-24,Amazon Purchase,"₹5,845.78",debit,Shopping
2022-01-24,Client Meeting Cab,₹833.80,debit,Transportation
2022-01-24,More Supermarket,"₹1,396.69",debit,Groceries
2022-01-24,Royalty Credit,"₹13,136.83",credit,Income
2022-01-24,Invoice Software,₹660.42,debit,Subscriptions
2022-01-27,Gym Membership,"₹1,148.13",debit,Healthcare
2022-01-28,Retainer Fee Credit,"₹27,466.37",credit,Income
2022-01-28,Amazon Purchase,"₹6,445.35",debit,Shopping
2022-01-30,Myntra Fashion,"₹2,624.30",debit,Shopping
2022-01-31,Namecheap Domain,"₹1,724.41",debit,Utilities
2022-01-31,Amazon Prime,₹779.14,debit,Subscriptions
2022-02-02,Gym Membership,₹601.53,debit,Healthcare
2022-02-02,Gym Membership,"₹1,369.28",debit,Healthcare
2022-02-02,Swiggy Order,₹312.47,debit,Food & Dining
2022-02-03,Adobe Creative Cloud,"₹1,675.00",debit,Subscriptions
2022-02-03,Apollo Pharmacy,₹683.99,debit,Healthcare
2022-02-04,Client Payment UPI,"₹80,286.87",credit,Income
2022-02-05,Equipment Purchase,"₹15,381.43",debit,Shopping
2022-02-07,Project Milestone,"₹84,667.25",credit,Income
2022-02-08,DMart Purchase,₹341.41,debit,Groceries
2022-02-08,Ajio Clothing,"₹2,851.87",debit,Shopping
2022-02-10,Invoice Software,"₹1,127.50",debit,Subscriptions
2022-02-11,DMart Purchase,"₹1,364.78",debit,Groceries
2022-02-13,Flipkart Order,"₹1,581.88",debit,Shopping
2022-02-15,Amazon Prime,₹842.38,debit,Subscriptions
2022-02-16,Retainer Fee Credit,"₹17,038.20",credit,Income
2022-02-16,Retainer Fee Credit,"₹40,248.35",credit,Income
2022-02-17,BookMyShow Tickets,₹401.28,debit,Entertainment
2022-02-19,Adobe Creative Cloud,"₹1,675.00",debit,Subscriptions
2022-02-19,YouTube Premium,₹139.00,debit,Subscriptions
2022-02-20,PVR Cinemas,₹629.57,debit,Entertainment
2022-02-20,BigBasket Groceries,"₹3,968.35",debit,Groceries
2022-02-21,LinkedIn Premium,"₹2,499.00",debit,Subscriptions
2022-02-22,1mg Medicine Order,₹653.85,debit,Healthcare
2022-02-22,Gym Membership,"₹1,073.87",debit,Healthcare
2022-02-22,Co-working Space,"₹7,875.86",debit,Housing
2022-02-23,Canva Pro,₹499.00,debit,Subscriptions
2022-02-23,Adobe Creative Cloud,"₹1,675.00",debit,Subscriptions
2022-02-24,Zoom Pro,"₹1,300.00",debit,Subscriptions
2022-02-24,Royalty Credit,"₹2,108.59",credit,Income
2022-03-01,Tally Software,"₹9,000.00",debit,Subscriptions
2022-03-01,Project Milestone,"₹87,972.24",credit,Income
2022-03-01,Notion Subscription,₹500.00,debit,Subscriptions
2022-03-02,Amazon Purchase,"₹5,888.46",debit,Shopping
2022-03-03,Gym Membership,"₹1,945.84",debit,Healthcare
2022-03-03,Ajio Clothing,"₹2,960.25",debit,Shopping
2022-03-04,Tally Software,"₹9,000.00",debit,Subscriptions
2022-03-05,More Supermarket,₹319.91,debit,Groceries
2022-03-05,Course Sale Revenue,"₹6,034.60",credit,Income
2022-03-05,Amazon Prime,₹370.18,debit,Subscriptions
2022-03-07,1mg Medicine Order,"₹1,100.68",debit,Healthcare
2022-03-08,Namecheap Domain,₹946.50,debit,Utilities
2022-03-08,Ajio Clothing,₹869.43,debit,Shopping
2022-03-08,Refund Credit,"₹3,175.84",credit,Income
2022-03-09,Royalty Credit,"₹13,012.46",credit,Income
2022-03-10,Apollo Pharmacy,"₹1,170.44",debit,Healthcare
2022-03-11,Amazon Prime,₹189.31,debit,Subscriptions
2022-03-11,Netflix Subscription,₹442.26,debit,Subscriptions
2022-03-12,Invoice Software,₹662.05,debit,Subscriptions
2022-03-13,Namecheap Domain,"₹1,635.79",debit,Utilities
2022-03-15,Spotify Premium,₹119.00,debit,Subscriptions
2022-03-15,Hotstar Subscription,₹320.57,debit,Subscriptions
2022-03-18,Cashback Credit,₹325.16,credit,Income
2022-03-18,Notion Subscription,₹500.00,debit,Subscriptions
