date,description,amount,category
2022-01-01,Amazon Prime,Rs 567.86,Subscriptions
2022-01-04,Myntra Fashion,Rs 697.82,Shopping
2022-01-05,Premium Gym,"Rs 4,717.76",Healthcare
2022-01-05,Security System,"Rs 13,766.56",Housing
2022-01-05,Hotstar Subscription,Rs 821.87,Subscriptions
2022-01-06,DMart Purchase,"Rs 1,291.47",Groceries
2022-01-06,Flipkart Order,"Rs 5,380.43",Shopping
2022-01-07,Spotify Premium,Rs 119.00,Subscriptions
2022-01-08,Premium Whisky Shop,"Rs 6,519.20",Food & Dining
2022-01-09,Investment Advisory Fee,"Rs 17,134.62",Miscellaneous
2022-01-09,Swiggy Order,Rs 188.61,Food & Dining
2022-01-09,Dividend Credit,"Rs 11,626.86",Income
2022-01-10,Amazon Purchase,Rs 668.69,Shopping
2022-01-10,Uber Ride,Rs 527.19,Transportation
2022-01-10,Golf Club Membership,"Rs 5,492.53",Healthcare
2022-01-10,Chartered Accountant,"Rs 28,164.50",Miscellaneous
2022-01-11,More Supermarket,Rs 716.45,Groceries
2022-01-13,Myntra Fashion,Rs 830.69,Shopping
2022-01-14,Dividend Credit,"Rs 44,649.01",Income
2022-01-16,Netflix Subscription,Rs 262.90,Subscriptions
2022-01-16,Rapido Bike Taxi,Rs 127.61,Transportation
2022-01-19,Hotstar Subscription,Rs 493.80,Subscriptions
2022-01-19,YouTube Premium,Rs 139.00,Subscriptions
2022-01-19,Golf Club Membership,"Rs 25,758.50",Healthcare
2022-01-20,BMW Service Center,"Rs 15,961.79",Transportation
2022-01-20,Myntra Fashion,"Rs 3,803.18",Shopping
2022-01-21,YouTube Premium,Rs 139.00,Subscriptions
2022-01-22,DMart Purchase,"Rs 2,395.67",Groceries
2022-01-22,Fine Dining Restaurant,"Rs 13,710.97",Food & Dining
2022-01-23,YouTube Premium,Rs 139.00,Subscriptions
2022-01-24,Luxury Watch Service,"Rs 21,382.89",Shopping
2022-01-26,Security System,"Rs 17,572.52",Housing
2022-01-26,Designer Brand Store,"Rs 34,591.69",Shopping
2022-01-27,BMW Service Center,"Rs 10,734.65",Transportation
2022-01-28,BigBasket Groceries,"Rs 2,978.47",Groceries
2022-01-29,YouTube Premium,Rs 139.00,Subscriptions
2022-01-29,BMW Service Center,"Rs 11,663.05",Transportation
2022-01-30,BigBasket Groceries,"Rs 3,762.17",Groceries
2022-01-30,YouTube Premium,Rs 139.00,Subscriptions
2022-01-30,Spotify Premium,Rs 119.00,Subscriptions
2022-01-31,BigBasket Groceries,"Rs 2,995.94",Groceries
2022-02-01,Dividend Credit,"Rs 50,207.06",Income
2022-02-01,Investment Advisory Fee,"Rs 18,325.61",Miscellaneous
2022-02-03,Hotstar Subscription,Rs 762.09,Subscriptions
2022-02-06,Premium Whisky Shop,"Rs 14,369.92",Food & Dining
