Value Date,Narration,Amount,Dr/Cr,Category
02-01-2021,Auto Rickshaw,151.04,Dr,Transportation
02-01-2021,Bus Ticket,622.53,Dr,Travel
05-01-2021,Grandchildren's Gift,3394.68,Dr,Shopping
08-01-2021,LIC Premium,10068.43,Dr,Insurance
08-01-2021,Readymade Garments,2834.44,Dr,Shopping
09-01-2021,Pension Credit,26190.04,Cr,Income
10-01-2021,Vegetable Market,1616.71,Dr,Groceries
11-01-2021,Home Nurse Service,18256.21,Dr,Healthcare
11-01-2021,Pension Credit,56884.28,Cr,Income
11-01-2021,Chemist Medical Store,2003.7,Dr,Healthcare
11-01-2021,LPG Cylinder,906.35,Dr,Utilities
11-01-2021,Milk Subscription,853.92,Dr,Groceries
13-01-2021,Post Office RD,3086.75,Dr,Insurance
13-01-2021,Train Ticket,6788.25,Dr,Travel
13-01-2021,Pilgrimage Travel,12347.71,Dr,Travel
14-01-2021,PPF Withdrawal,49623.84,Cr,Income
14-01-2021,Train Ticket,5349.74,Dr,Travel
15-01-2021,Kiryana Store,1312.26,Dr,Groceries
15-01-2021,Kiryana Store,686.73,Dr,Groceries
15-01-2021,Newspaper Home Delivery,223.31,Dr,Subscriptions
17-01-2021,Pilgrimage Travel,11705.89,Dr,Travel
17-01-2021,Bus Ticket,1160.1,Dr,Travel
18-01-2021,Bus Ticket,1499.86,Dr,Travel
18-01-2021,Bus Ticket,1379.14,Dr,Travel
19-01-2021,Post Office RD,5883.57,Dr,Insurance
19-01-2021,Fixed Deposit Interest,28398.51,Cr,Income
19-01-2021,Vegetable Market,502.16,Dr,Groceries
19-01-2021,Dividend Credit,6872.96,Cr,Income
19-01-2021,LPG Cylinder,917.46,Dr,Utilities
20-01-2021,Vegetable Market,894.69,Dr,Groceries
20-01-2021,Train Ticket,1880.1,Dr,Travel
20-01-2021,Post Office RD,9826.96,Dr,Insurance
21-01-2021,Grandchildren's Gift,3117.1,Dr,Shopping
21-01-2021,Temple Donation,3788.92,Dr,Miscellaneous
22-01-2021,Cable TV,269.31,Dr,Subscriptions
23-01-2021,Dividend Credit,8147.77,Cr,Income
25-01-2021,Auto Rickshaw,278.94,Dr,Transportation
25-01-2021,Milk Subscription,364.26,Dr,Groceries
26-01-2021,Milk Subscription,376.9,Dr,Groceries
26-01-2021,Kiryana Store,988.44,Dr,Groceries
28-01-2021,Newspaper Home Delivery,168.25,Dr,Subscriptions
28-01-2021,Pension Credit,36942.23,Cr,Income
28-01-2021,Home Nurse Service,13951.48,Dr,Healthcare
29-01-2021,Dividend Credit,6852.78,Cr,Income
31-01-2021,Grandchildren's Gift,1566.63,Dr,Shopping
31-01-2021,Post Office RD,2047.53,Dr,Insurance
01-02-2021,Rental Income,7566.07,Cr,Income
01-02-2021,Milk Subscription,324.44,Dr,Groceries
01-02-2021,Kiryana Store,1387.69,Dr,Groceries
02-02-2021,Grandchildren's Gift,2229.83,Dr,Shopping
02-02-2021,Auto Rickshaw,257.14,Dr,Transportation
04-02-2021,PPF Withdrawal,10074.47,Cr,Income
05-02-2021,Kiryana Store,1328.9,Dr,Groceries
05-02-2021,Train Ticket,1281.73,Dr,Travel
06-02-2021,Auto Rickshaw,279.57,Dr,Transportation
06-02-2021,Vegetable Market,866.19,Dr,Groceries
06-02-2021,Hospital Bill,39816.71,Dr,Healthcare
07-02-2021,Children Transfer,27478.27,Cr,Income
07-02-2021,Readymade Garments,1828.15,Dr,Shopping
10-02-2021,Temple Donation,3284.9,Dr,Miscellaneous
10-02-2021,Readymade Garments,2400.4,Dr,Shopping
12-02-2021,Kiryana Store,815.22,Dr,Groceries
12-02-2021,Chemist Medical Store,4011.6,Dr,Healthcare
12-02-2021,Cable TV,370.46,Dr,Subscriptions
12-02-2021,Readymade Garments,2795.64,Dr,Shopping
13-02-2021,Electricity Bill,2387.0,Dr,Utilities
13-02-2021,Kiryana Store,241.96,Dr,Groceries
13-02-2021,Rental Income,17340.63,Cr,Income
13-02-2021,Bus Ticket,1683.89,Dr,Travel
14-02-2021,Grandchildren's Gift,2967.17,Dr,Shopping
14-02-2021,Chemist Medical Store,1252.83,Dr,Healthcare
14-02-2021,Home Nurse Service,18747.08,Dr,Healthcare
15-02-2021,Hospital Bill,6291.48,Dr,Healthcare
18-02-2021,Post Office RD,7303.38,Dr,Insurance
19-02-2021,LIC Premium,13057.31,Dr,Insurance
19-02-2021,Pilgrimage Travel,12595.42,Dr,Travel
19-02-2021,Newspaper Home Delivery,172.69,Dr,Subscriptions
19-02-2021,Hospital Bill,5230.45,Dr,Healthcare
21-02-2021,Train Ticket,7760.75,Dr,Travel
22-02-2021,LIC Premium,11881.51,Dr,Insurance
23-02-2021,Grandchildren's Gift,2777.95,Dr,Shopping
24-02-2021,Home Nurse Service,11084.82,Dr,Healthcare
24-02-2021,Temple Donation,4271.42,Dr,Miscellaneous
25-02-2021,Fixed Deposit Interest,20514.9,Cr,Income
25-02-2021,Fixed Deposit Interest,8966.2,Cr,Income
27-02-2021,LIC Premium,2332.38,Dr,Insurance
27-02-2021,Bus Ticket,1804.7,Dr,Travel
28-02-2021,Auto Rickshaw,101.33,Dr,Transportation
01-03-2021,Chemist Medical Store,3421.22,Dr,Healthcare
01-03-2021,Auto Rickshaw,272.07,Dr,Transportation
01-03-2021,Grandchildren's Gift,3606.81,Dr,Shopping
02-03-2021,Children Transfer,11682.33,Cr,Income
02-03-2021,Hospital Bill,41232.82,Dr,Healthcare
04-03-2021,Grandchildren's Gift,3038.0,Dr,Shopping
04-03-2021,Dividend Credit,2985.07,Cr,Income
05-03-2021,LPG Cylinder,930.56,Dr,Utilities
05-03-2021,Diagnostic Tests,8520.09,Dr,Healthcare
06-03-2021,PPF Withdrawal,20595.64,Cr,Income
06-03-2021,Home Nurse Service,8284.42,Dr,Healthcare
07-03-2021,Electricity Bill,2195.32,Dr,Utilities
07-03-2021,Home Nurse Service,11461.42,Dr,Healthcare
07-03-2021,Kiryana Store,297.01,Dr,Groceries
