Transaction Date,Description,Net Amount,Type,Spending Category
01-01-2023,Myntra Fashion,1246.65,Expense,Shopping
01-01-2023,Freelance Payment,23132.6,Income,Income
01-01-2023,Book Purchase,283.06,Expense,Education
01-02-2023,Book Purchase,1277.0,Expense,Education
01-02-2023,Apollo Pharmacy,1699.11,Expense,Healthcare
01-03-2023,Gaming Recharge,1512.87,Expense,Entertainment
01-03-2023,UPI Received,12727.31,Income,Income
01-03-2023,Newspaper Subscription,163.25,Expense,Subscriptions
01-03-2023,Flipkart Order,2736.99,Expense,Shopping
01-04-2023,YouTube Premium,139.0,Expense,Subscriptions
01-04-2023,Water Bill,411.03,Expense,Utilities
01-04-2023,Doctor Consultation,1468.91,Expense,Healthcare
01-04-2023,Reliance Fresh,257.91,Expense,Groceries
01-05-2023,Maintenance Charges,626.48,Expense,Housing
01-05-2023,House Rent,19961.11,Expense,Housing
01-05-2023,More Supermarket,810.06,Expense,Groceries
01-06-2023,Hotel Stay,4383.22,Expense,Travel
01-06-2023,Online Course,2605.76,Expense,Education
01-07-2023,Newspaper Subscription,140.51,Expense,Subscriptions
01-08-2023,Flipkart Order,5717.08,Expense,Shopping
01-08-2023,Water Bill,511.39,Expense,Utilities
01-09-2023,Ola Cab,256.02,Expense,Transportation
01-11-2023,Water Bill,269.85,Expense,Utilities
01-12-2023,Hair Salon,1177.04,Expense,Personal Care
01-13-2023,Jio Recharge,513.51,Expense,Utilities
01-13-2023,Myntra Fashion,2536.71,Expense,Shopping
01-13-2023,Zomato Food Delivery,706.02,Expense,Food & Dining
01-13-2023,PVR Cinemas,385.89,Expense,Entertainment
01-13-2023,Coffee Shop,198.36,Expense,Food & Dining
01-14-2023,Ajio Clothing,1047.24,Expense,Shopping
01-14-2023,Reliance Fresh,803.14,Expense,Groceries
01-14-2023,Rapido Bike Taxi,163.59,Expense,Transportation
01-15-2023,Airtel Mobile Bill,919.68,Expense,Utilities
01-15-2023,Transfer Received,49789.24,Income,Income
01-16-2023,Swiggy Order,666.24,Expense,Food & Dining
01-17-2023,School Fees,9003.91,Expense,Education
01-19-2023,Swiggy Order,896.27,Expense,Food & Dining
01-20-2023,Rental Income,21992.75,Income,Income
01-20-2023,Hotstar Subscription,861.2,Expense,Subscriptions
01-21-2023,Hotstar Subscription,198.28,Expense,Subscriptions
01-21-2023,Meesho Order,869.42,Expense,Shopping
01-21-2023,House Rent,28867.32,Expense,Housing
01-22-2023,Hotstar Subscription,704.95,Expense,Subscriptions
01-22-2023,BigBasket Groceries,3546.5,Expense,Groceries
01-25-2023,ATM Withdrawal,1401.65,Expense,Miscellaneous
01-25-2023,DMart Purchase,1553.23,Expense,Groceries
01-26-2023,1mg Medicine Order,1247.7,Expense,Healthcare
01-26-2023,BookMyShow Tickets,640.89,Expense,Entertainment
01-27-2023,Reliance Fresh,1730.38,Expense,Groceries
01-27-2023,Spotify Premium,119.0,Expense,Subscriptions
01-27-2023,Gaming Recharge,1956.96,Expense,Entertainment
01-28-2023,Metro Card Recharge,212.62,Expense,Transportation
01-28-2023,Hotel Stay,7384.04,Expense,Travel
01-28-2023,School Fees,10695.89,Expense,Education
01-29-2023,School Fees,3929.93,Expense,Education
01-29-2023,UPI Received,4705.84,Income,Income
01-30-2023,Maintenance Charges,2009.76,Expense,Housing
01-30-2023,More Supermarket,707.4,Expense,Groceries
01-30-2023,Bonus Credit,22516.09,Income,Income
01-31-2023,Apollo Pharmacy,1703.17,Expense,Healthcare
02-01-2023,Gaming Recharge,1780.47,Expense,Entertainment
02-01-2023,DMart Purchase,1365.2,Expense,Groceries
02-01-2023,Cashback Credit,86.84,Income,Income
02-01-2023,1mg Medicine Order,153.49,Expense,Healthcare
