date,description,amount,transaction_type
2020/01/01,Apollo Pharmacy,547.41,debit
2020/01/02,Apollo Pharmacy,504.8,debit
2020/01/02,UPI Received,19653.07,credit
2020/01/02,Netflix Subscription,486.99,debit
2020/01/02,Newspaper Subscription,286.96,debit
2020/01/03,Interest Credit,2896.58,credit
2020/01/03,Gym Membership,1046.62,debit
2020/01/03,BookMyShow Tickets,281.8,debit
2020/01/03,Travel Booking,19824.48,debit
2020/01/03,Cashback Credit,272.14,credit
2020/01/05,Electricity Bill,1944.28,debit
2020/01/06,Gym Membership,1811.33,debit
2020/01/06,Amazon Prime,603.38,debit
2020/01/08,Maintenance Charges,1026.3,debit
2020/01/08,Electricity Bill,2091.18,debit
2020/01/08,More Supermarket,1758.58,debit
2020/01/09,Insurance Premium,6767.74,debit
2020/01/11,Reliance Fresh,1001.08,debit
2020/01/12,Refund Credit,4689.77,credit
2020/01/12,Electricity Bill,2066.13,debit
2020/01/16,Jio Recharge,341.05,debit
2020/01/17,Spotify Premium,119.0,debit
2020/01/18,Ajio Clothing,586.35,debit
2020/01/18,Uber Ride,246.57,debit
2020/01/19,Flipkart Order,3127.35,debit
2020/01/20,YouTube Premium,139.0,debit
2020/01/20,Amazon Prime,720.2,debit
2020/01/21,Bonus Credit,12239.12,credit
2020/01/21,Water Bill,789.05,debit
2020/01/21,Amazon Prime,702.39,debit
2020/01/22,Apollo Pharmacy,1861.03,debit
2020/01/22,UPI Received,10030.88,credit
2020/01/22,Parking Charges,154.59,debit
2020/01/22,Dividend Credit,8747.86,credit
2020/01/23,Ajio Clothing,2160.54,debit
2020/01/24,Metro Card Recharge,636.21,debit
2020/01/24,Book Purchase,538.63,debit
2020/01/24,Newspaper Subscription,132.13,debit
2020/01/24,Flipkart Order,2708.5,debit
2020/01/26,Online Course,1558.76,debit
2020/01/27,Amazon Prime,420.58,debit
2020/01/27,Ajio Clothing,1817.2,debit
2020/01/28,More Supermarket,973.27,debit
2020/01/28,YouTube Premium,139.0,debit
2020/01/29,Newspaper Subscription,190.6,debit
2020/01/30,PVR Cinemas,614.7,debit
2020/01/30,Insurance Premium,3424.1,debit
2020/01/30,Insurance Premium,6275.78,debit
2020/02/02,Apollo Pharmacy,1602.54,debit
2020/02/03,Hotel Stay,1637.86,debit
2020/02/03,1mg Medicine Order,1267.89,debit
2020/02/04,Electricity Bill,1196.98,debit
2020/02/06,Dividend Credit,5700.39,credit
2020/02/06,Interest Credit,1122.35,credit
2020/02/07,Ajio Clothing,3384.44,debit
2020/02/09,Freelance Payment,18691.77,credit
2020/02/09,Netflix Subscription,583.88,debit
2020/02/09,School Fees,13521.17,debit
2020/02/10,Water Bill,390.19,debit
2020/02/10,DMart Purchase,861.09,debit
2020/02/10,Jio Recharge,527.91,debit
2020/02/10,Netflix Subscription,434.65,debit
2020/02/12,Myntra Fashion,1114.55,debit
2020/02/13,Bonus Credit,35005.52,credit
2020/02/13,Doctor Consultation,354.48,debit
2020/02/14,Gym Membership,1028.17,debit
2020/02/14,Cashback Credit,660.23,credit
2020/02/16,Refund Credit,1603.54,credit
2020/02/16,Freelance Payment,11168.99,credit
2020/02/17,Rental Income,7938.07,credit
2020/02/18,Gaming Recharge,101.97,debit
2020/02/18,Hotel Stay,1810.06,debit
2020/02/19,Flipkart Order,596.64,debit
2020/02/19,Meesho Order,1887.98,debit
2020/02/19,Apollo Pharmacy,807.09,debit
2020/02/20,Airtel Mobile Bill,697.52,debit
2020/02/20,Hotel Stay,5956.15,debit
2020/02/21,Travel Booking,18239.65,debit
2020/02/22,1mg Medicine Order,565.29,debit
2020/02/23,Spotify Premium,119.0,debit
2020/02/23,Electricity Bill,4279.18,debit
2020/02/25,Petrol / Diesel,1906.95,debit
2020/02/25,Flipkart Order,429.39,debit
2020/02/26,Gym Membership,2077.58,debit
2020/02/26,Airtel Mobile Bill,851.93,debit
2020/02/26,Gaming Recharge,344.54,debit
2020/02/28,Spa Treatment,2765.36,debit
2020/02/28,Cashback Credit,884.15,credit
2020/02/29,Water Bill,610.35,debit
2020/02/29,Ajio Clothing,1302.04,debit
2020/03/01,Metro Card Recharge,538.24,debit
2020/03/01,Rental Income,22593.61,credit
2020/03/04,Amazon Purchase,7726.95,debit
2020/03/05,Rapido Bike Taxi,90.33,debit
2020/03/05,PVR Cinemas,267.86,debit
2020/03/06,Insurance Premium,3946.25,debit
2020/03/08,House Rent,17026.17,debit
2020/03/08,UPI Received,13903.14,credit
2020/03/10,Online Course,2699.82,debit
2020/03/10,Book Purchase,622.19,debit
2020/03/10,Interest Credit,550.99,credit
2020/03/10,Ajio Clothing,1511.9,debit
2020/03/11,Jio Recharge,491.62,debit
2020/03/11,Amazon Purchase,6637.84,debit
2020/03/13,Ola Cab,278.58,debit
2020/03/13,Insurance Premium,4640.87,debit
2020/03/14,Ajio Clothing,902.65,debit
2020/03/15,Water Bill,279.53,debit
2020/03/15,Amazon Purchase,6868.32,debit
2020/03/16,Electricity Bill,3096.64,debit
2020/03/16,Gaming Recharge,1791.36,debit
2020/03/18,Transfer Received,46993.97,credit
2020/03/19,Gaming Recharge,372.31,debit
2020/03/19,School Fees,14200.58,debit
2020/03/21,Amazon Prime,382.43,debit
2020/03/22,Online Course,2577.29,debit
2020/03/23,BigBasket Groceries,3335.42,debit
2020/03/23,UPI Received,12313.25,credit
2020/03/24,Ajio Clothing,1723.43,debit
2020/03/24,Ola Cab,336.49,debit
2020/03/25,Flipkart Order,2947.59,debit
2020/03/26,Parking Charges,287.61,debit
2020/03/28,Metro Card Recharge,588.6,debit
2020/03/28,BookMyShow Tickets,1290.06,debit
2020/03/28,Reliance Fresh,772.49,debit
2020/03/29,Online Course,3373.88,debit
2020/03/29,Flipkart Order,1839.3,debit
2020/03/30,Swiggy Order,144.59,debit
2020/03/31,Airtel Mobile Bill,994.32,debit
2020/04/02,Spa Treatment,1435.84,debit
2020/04/03,DMart Purchase,2160.45,debit
2020/04/05,Swiggy Order,707.5,debit
2020/04/05,Maintenance Charges,1780.44,debit
2020/04/06,Hair Salon,768.44,debit
2020/04/06,Zomato Food Delivery,571.32,debit
2020/04/07,Ola Cab,150.27,debit
2020/04/09,Rental Income,8912.36,credit
2020/04/10,Ola Cab,361.5,debit
2020/04/11,Myntra Fashion,3575.44,debit
2020/04/12,Amazon Prime,984.76,debit
2020/04/12,Online Course,847.28,debit
2020/04/12,Water Bill,397.56,debit
2020/04/13,Jio Recharge,338.29,debit
2020/04/13,Meesho Order,341.63,debit
2020/04/15,Flipkart Order,5001.36,debit
2020/04/17,Airtel Mobile Bill,466.98,debit
2020/04/17,Ajio Clothing,754.07,debit
2020/04/18,Gaming Recharge,390.21,debit
2020/04/18,Ajio Clothing,839.77,debit
2020/04/20,Book Purchase,1170.08,debit
2020/04/20,DMart Purchase,728.25,debit
2020/04/20,YouTube Premium,139.0,debit
2020/04/20,Meesho Order,263.78,debit
2020/04/21,Book Purchase,996.91,debit
