date,description,amount,transaction_type,category
2022-04-01,DigitalOcean,2272.45,debit,Utilities
2022-04-02,WeWork Cafe,599.44,debit,Food & Dining
2022-04-02,Ajio Clothing,790.59,debit,Shopping
2022-04-04,MacBook Accessories,3943.56,debit,Shopping
2022-04-04,Myntra Fashion,2800.72,debit,Shopping
2022-04-05,DMart Purchase,1497.6,debit,Groceries
2022-04-05,Figma Subscription,1250.0,debit,Subscriptions
2022-04-05,Transfer Received,18138.0,credit,Income
2022-04-06,Zomato Food Delivery,283.66,debit,Food & Dining
2022-04-07,Amazon Prime,653.25,debit,Subscriptions
2022-04-07,Meesho Order,977.88,debit,Shopping
2022-04-07,MacBook Accessories,4355.71,debit,Shopping
2022-04-07,Swiggy Order,817.96,debit,Food & Dining
2022-04-08,More Supermarket,721.15,debit,Groceries
2022-04-08,AWS Bill,13529.42,debit,Utilities
2022-04-08,YouTube Premium,139.0,debit,Subscriptions
2022-04-09,Ola Cab,342.41,debit,Transportation
2022-04-10,DMart Purchase,2158.31,debit,Groceries
2022-04-10,BigBasket Groceries,784.22,debit,Groceries
2022-04-12,Bonus Credit,40898.05,credit,Income
2022-04-14,Flipkart Order,3648.89,debit,Shopping
2022-04-15,DMart Purchase,829.2,debit,Groceries
2022-04-15,Swiggy Instamart,793.4,debit,Groceries
2022-04-15,DigitalOcean,524.88,debit,Utilities
2022-04-15,Slack Pro,875.0,debit,Subscriptions
2022-04-17,Uber Ride,270.27,debit,Transportation
2022-04-17,Zomato Food Delivery,336.26,debit,Food & Dining
2022-04-17,Blinkit Grocery Delivery,619.49,debit,Groceries
2022-04-17,Swiggy Instamart,1205.88,debit,Groceries
2022-04-18,Meesho Order,1597.75,debit,Shopping
2022-04-18,DigitalOcean,3468.27,debit,Utilities
2022-04-18,Transfer Received,1846.33,credit,Income
2022-04-19,GitHub Copilot,837.0,debit,Subscriptions
2022-04-19,Uber Ride,273.37,debit,Transportation
2022-04-19,Cashback Credit,850.38,credit,Income
2022-04-20,Ola Cab,124.77,debit,Transportation
2022-04-21,Swiggy Instamart,1216.04,debit,Groceries
2022-04-22,Swiggy Order,891.49,debit,Food & Dining
2022-04-22,Dunzo Quick Commerce,915.6,debit,Groceries
2022-04-22,Amazon Purchase,5060.64,debit,Shopping
2022-04-22,Myntra Fashion,2990.12,debit,Shopping
2022-04-23,WeWork Cafe,425.55,debit,Food & Dining
2022-04-23,YouTube Premium,139.0,debit,Subscriptions
2022-04-24,Rapido Bike Taxi,79.32,debit,Transportation
2022-04-24,Blinkit Grocery Delivery,2600.89,debit,Groceries
2022-04-24,Cult.fit Membership,776.32,debit,Healthcare
2022-04-25,Amazon Purchase,2549.08,debit,Shopping
2022-04-26,Figma Subscription,1250.0,debit,Subscriptions
2022-04-27,Stock Vesting Credit,45038.1,credit,Income
2022-04-27,Rapido Bike Taxi,120.44,debit,Transportation
2022-04-28,Dunzo Quick Commerce,770.26,debit,Groceries
2022-04-29,Figma Subscription,1250.0,debit,Subscriptions
2022-05-01,BigBasket Groceries,3635.28,debit,Groceries
2022-05-02,BookMyShow Tickets,1190.61,debit,Entertainment
2022-05-02,Freelance Consulting,41969.59,credit,Income
2022-05-02,YouTube Premium,139.0,debit,Subscriptions
2022-05-04,Swiggy Order,377.26,debit,Food & Dining
2022-05-04,Blinkit Grocery Delivery,1940.61,debit,Groceries
2022-05-05,UPI Received,3193.92,credit,Income
2022-05-06,Amazon Prime,204.46,debit,Subscriptions
2022-05-07,Bonus Credit,14813.05,credit,Income
2022-05-07,Swiggy Order,339.8,debit,Food & Dining
2022-05-07,Blinkit Grocery Delivery,2380.86,debit,Groceries
2022-05-07,Amazon Purchase,5452.34,debit,Shopping
2022-05-07,Hotstar Subscription,346.15,debit,Subscriptions
2022-05-07,BigBasket Groceries,3258.26,debit,Groceries
2022-05-08,Rapido Bike Taxi,155.62,debit,Transportation
2022-05-09,BookMyShow Tickets,844.37,debit,Entertainment
2022-05-09,Transfer Received,35209.74,credit,Income
2022-05-09,Ajio Clothing,1336.63,debit,Shopping
2022-05-10,Meesho Order,507.39,debit,Shopping
2022-05-11,Myntra Fashion,2194.83,debit,Shopping
2022-05-12,Tech Gadget Purchase,5716.9,debit,Shopping
2022-05-12,Blinkit Grocery Delivery,1596.5,debit,Groceries
2022-05-13,BigBasket Groceries,579.61,debit,Groceries
